N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
113,강원랜드,"17,880",80,-0.45%,500,"38,253","213,940",14.20,"249,978",11.23,12.09,
114,한화엔진,"45,300",450,-0.98%,"1,000","37,802","83,447",17.69,"4,052,925",41.56,25.64,
115,SK바이오사이언스,"46,600",250,+0.54%,500,"36,520","78,369",6.13,"30,360",-68.93,-3.07,
116,한국가스공사,"39,100",50,+0.13%,"5,000","36,094","92,313",9.94,"97,158",3.84,11.21,
117,KODEX 종합채권(AA-이상)액티브,"118,895",35,-0.03%,0,"35,943","30,231",0.00,"14,983",N/A,N/A,
118,KCC,"392,000","3,000",-0.76%,"5,000","34,835","8,886",10.43,"5,666",4.31,6.08,
119,CJ제일제당,"230,500","1,500",+0.66%,"5,000","34,700","15,054",17.67,"24,925",28.10,1.97,
120,에코프로머티,"49,300",200,+0.41%,500,"34,477","69,932",21.22,"130,214",-46.95,-5.56,
121,한전기술,"90,100",200,+0.22%,200,"34,436","38,220",10.69,"103,440",34.67,10.40,
122,SKC,"90,500",400,+0.44%,"5,000","34,271","37,868",12.11,"64,043",-8.52,-34.34,
123,TIGER 미국테크TOP10 INDXX,"26,720",15,+0.06%,0,"33,801","126,500",0.04,"447,753",N/A,N/A,
124,포스코DX,"21,775",75,+0.35%,500,"33,106","152,035",3.14,"118,470",42.45,17.92,
125,풍산,"117,900",0,0.00%,"5,000","33,041","28,024",24.65,"67,437",17.06,11.33,
126,산일전기,"104,200","2,000",-1.88%,500,"31,724","30,445",11.66,"310,525",26.31,29.88,
127,HD현대마린엔진,"93,100","1,000",+1.09%,"2,500","31,581","33,921",12.91,"274,759",34.61,28.34,
128,대한조선,"81,800","1,000",+1.24%,"5,000","31,515","38,526",0.57,"297,857",6.57,55.26,
129,롯데지주,"30,000",400,-1.32%,200,"31,473","104,909",8.21,"208,904",-3.17,-15.56,
130,서울보증보험,"44,850","1,250",+2.87%,"2,500","31,315","69,822",0.87,"60,706",14.70,4.12,
131,KODEX 미국나스닥100,"21,690",10,+0.05%,0,"30,615","141,150",0.03,"498,914",N/A,N/A,
132,에스원,"80,100",500,+0.63%,500,"30,437","37,999",56.13,"8,528",16.29,10.85,
133,현대엘리베이터,"76,600",700,-0.91%,"5,000","29,945","39,092",25.71,"59,238",12.69,14.42,
134,대한전선,"15,220",40,-0.26%,"1,000","28,377","186,447",7.01,"298,053",97.56,5.85,
135,TIGER 200,"42,915",410,+0.96%,0,"28,367","66,100",10.84,"575,673",N/A,N/A,
136,한미사이언스,"41,200",200,+0.49%,500,"28,177","68,392",2.24,"58,501",46.45,7.30,
137,금호석유화학,"106,000",900,-0.84%,"5,000","28,047","26,460",18.40,"31,195",10.77,5.88,
138,KODEX 200TR,"15,360",150,+0.99%,0,"27,901","181,650",0.00,"269,255",N/A,N/A,
139,동서,"27,450",50,-0.18%,500,"27,368","99,700",4.02,"23,358",19.21,9.52,
140,TIGER KOFR금리액티브(합성),"109,607",2,0.00%,0,"27,289","24,897",0.00,"51,858",N/A,N/A,
141,한화생명,"3,115",10,-0.32%,"5,000","27,055","868,530",10.33,"682,054",4.00,6.98,
142,롯데케미칼,"61,800",0,0.00%,"5,000","26,435","42,775",21.42,"51,128",-1.25,-11.44,
143,HD현대인프라코어,"13,970",390,+2.87%,"1,000","26,383","188,851",16.33,"854,818",60.22,5.92,
144,영원무역,"58,600",400,+0.69%,500,"25,967","44,311",30.06,"13,174",7.00,12.32,
145,한화비전,"51,400",400,+0.78%,500,"25,951","50,488",22.83,"90,039","-1,427.78",N/A,
146,농심,"426,500","2,000",-0.47%,"5,000","25,942","6,083",18.74,"33,358",17.31,6.17,
147,F&F,"65,600",300,+0.46%,100,"25,129","38,307",10.64,"24,048",7.47,25.27,
148,현대해상,"27,950",150,+0.54%,500,"24,987","89,400",35.24,"80,748",3.67,15.75,
149,RISE 머니마켓액티브,"54,617",2,0.00%,0,"24,382","44,642",0.90,"114,356",N/A,N/A,
150,미스토홀딩스,"40,450",50,+0.12%,"1,000","24,309","60,096",37.76,"31,916",19.65,4.30,
151,한온시스템,"3,590",15,+0.42%,100,"24,368","678,763",5.17,"336,408",-5.79,-13.90,
152,TIGER 미국필라델피아반도체나스닥,"20,650",25,-0.12%,0,"24,222","117,300",0.07,"298,298",N/A,N/A,
153,KODEX CD1년금리플러스액티브(합성),"1,021,865",50,0.00%,0,"23,978","2,346",0.00,"21,843",N/A,N/A,
154,시프트업,"40,400",350,-0.86%,200,"23,748","58,782",37.20,"52,753",14.62,31.30,
155,신영증권,"144,200","6,500",-4.31%,"5,000","23,706","16,440",6.76,"40,385",18.69,6.45,
156,더존비즈온,"77,500",700,-0.90%,500,"23,547","30,383",10.51,"137,729",39.70,17.03,
157,코스맥스,"207,000","4,000",-1.90%,500,"23,493","11,350",32.77,"108,630",37.91,20.53,
158,엘앤에프,"64,400",400,+0.63%,500,"23,388","36,316",13.62,"253,767",-5.63,-41.74,
159,ACE 미국30년국채액티브(H),"7,575",5,-0.07%,0,"23,081","304,700",0.00,"1,339,238",N/A,N/A,
160,SK가스,"248,500","1,000",-0.40%,"5,000","22,974","9,245",7.20,"3,792",8.87,6.74,
161,제일기획,"19,770",10,+0.05%,200,"22,744","115,041",22.82,"53,509",12.69,15.12,
